text,date,stock_label,predicted_effect,price_now,price_5min,price_10min,price_1h
"RT @charliekirk11: Facts:

Federal tax dollars will no longer go to sanctuary states or cities that harbor criminal illegal aliens

If a pr…",2020-03-12 10:00:25+00:00,dollar,no change,1.1242,1.12392,1.1232,1.12372
RT @WhiteHouse: President @realDonaldTrump signed the $8.3 billion funding bill to combat Coronavirus and defend the health and safety of t…,2020-03-08 04:04:06+00:00,dollar,no change,1.13499,1.13499,1.13499,1.13499
The Fannie and Freddie execs should not get million dollar bonuses with our tax dollars. They were bailed out with $169B of our money.,2011-11-10 15:26:44+00:00,dollar,decrease,1.3568,1.35532,1.35668,1.35761
"The Democrat Party has given up on counting votes in Iowa. Looks like it all got computer “fried”. Nobody knows who the real winner is. Maybe it’s Sleepy Joe, but it’s not looking that way. They lost millions &amp; millions of dollars, all for NOTHING. But I WON Iowa big!",2020-02-07 16:31:56+00:00,dollar,decrease,1.09479,1.0951,1.09518,1.09472
"RT @SenateGOP: Trade with Mexico and Canada supports 12 million American jobs. 

USMCA secures those jobs and grows our economy by $70 bill…",2020-02-02 04:36:20+00:00,dollar,increase,1.10951,1.10951,1.10951,1.10951
"The Democrats are just, as always, looking for trouble. They do nothing constructive, even in times of crisis. They don’t want to blame their cash cow, China, for the plague. China is blaming Europe. Dr. Fauci will be testifying before the Senate very soon! #DONOTHINGDEMOCRATS https://t.co/fgHuYeiOQY",2020-05-02 23:00:39+00:00,euro,decrease,,,,
RT @RichardGrenell: Now would be a good time to note that NATO is funded by $130 BILLION more today (and $400 BILLION coming by 2024) becau…,2020-02-08 12:26:04+00:00,dollar,increase,,,,
"The biggest loser tonight, by far, is Mini Mike Bloomberg. His “political” consultants took him for a ride. $700 million washed down the drain, and he got nothing for it but the nickname Mini Mike, and the complete destruction of his reputation. Way to go Mike!",2020-03-04 03:23:58+00:00,dollar,decrease,1.1165,1.11658,1.11654,1.11579
"Breaking News: The Fifth Circuit Court of Appeals just reversed a lower court decision &amp, gave us the go ahead to build one of the largest sections of the desperately needed Southern Border Wall, Four Billion Dollars. Entire Wall is under construction or getting ready to start!",2020-01-09 13:46:26+00:00,dollar,increase,1.11136,1.1117,1.11161,1.1109
"“11,000 points gained in the Dow in the 3 years since the Election of President Trump. Today it may hit 29,000. That has NEVER happened before in that time frame. That has added 12.8 Trillion Dollars to the VALUE of American Business.” @Varneyco @FoxNews  The best is yet to come!",2020-01-10 15:08:14+00:00,dollar,increase,1.11064,1.11088,1.11084,1.11128
"Mini Mike Bloomberg just “quit” the race for President. I could have told him long ago that he didn’t have what it takes, and he would have saved himself a billion dollars, the real cost. Now he will pour money into Sleepy Joe’s campaign, hoping to save face. It won’t work!",2020-03-04 15:40:01+00:00,dollar,decrease,1.11174,1.11202,1.11252,1.11341
"Congress has agreed to provide $8 Billion to fight Coronavirus! This means @CDC, @HHSGov, and @DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health, our Economy, and our Nation!",2020-03-04 23:45:39+00:00,dollar,increase,1.11383,1.1139,1.11374,
"Congress has agreed to provide $8 Billion to fight Coronavirus! This means @CDCgov, @HHSGov, and @DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health, our Economy, and our Nation!",2020-03-04 23:46:50+00:00,dollar,increase,1.11389,1.11388,1.11368,
John Kerry got caught essentially admitting that funds given ridiculously to Iran were used to fund attacks on the USA. Only a complete fool would have given that 150 Billion Dollars Plus to Iran. They then went on a Middle East Rampage! @foxandfriends @PeteHegseth,2020-01-12 14:06:03+00:00,dollar,decrease,1.11164,1.11164,1.11164,1.11164
"RT @realDonaldTrump: Congress has agreed to provide $8 Billion to fight Coronavirus! This means @CDCgov, @HHSGov, and @DHSgov will have the…",2020-03-05 00:16:07+00:00,dollar,no change,1.11351,1.11372,1.11373,1.11345
"Governors should let roads and highway construction begin before heavy traffic starts, which will be soon. Some Governors never stopped, which proved to be very smart. They built and fixed roads during long no traffic periods. Also, saved big dollars!",2020-05-05 13:13:29+00:00,dollar,increase,1.0859,1.08656,1.08643,1.08671
RT @TeamTrump: President @realDonaldTrump: “We’ve spent 8 trillion dollars in the Middle East and we’re not fixing our roads.” https://t.co…,2020-05-01 11:56:52+00:00,dollar,decrease,1.0974,1.0975,1.09764,1.09772
"At my meeting with Jay Powell this morning, I protested fact that our Fed Rate is set too high relative to the interest rates of other competitor countries. In fact, our rates should be lower than all others (we are the U.S.). Too strong a Dollar hurting manufacturers &amp, growth!",2019-11-19 03:34:12+00:00,dollar,decrease,1.10744,1.10744,1.10745,1.1075
"Just finished a very good &amp, cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything was discussed including interest rates, negative interest, low inflation, easing, Dollar strength &amp, its effect on manufacturing, trade with China, E.U. &amp, others, etc.",2019-11-18 16:01:42+00:00,dollar,increase,1.10823,1.10826,1.10868,1.10797
"Republicans &amp, others must remember, the Ukrainian President and Foreign Minister both said that there was no pressure placed on them whatsoever. Also, they didn’t even know the money wasn’t paid, and got the money with no conditions. But why isn’t Germany, France (Europe) paying?",2019-11-17 20:08:08+00:00,euro,decrease,1.10528,1.10528,1.10528,1.10528
"The Democrat Caucus is an unmitigated disaster. Nothing works, just like they ran the Country. Remember the  5 Billion Dollar Obamacare Website, that should have cost 2% of that. The only person that can claim a very big victory in Iowa last night is “Trump”.",2020-02-04 11:33:23+00:00,dollar,decrease,1.10547,1.10535,1.1054,1.10505
"Hoping to get the payroll tax cut approved by both Republicans and Democrats, and please remember, very important for all countries &amp; businesses to know that trade will in no way be affected by the 30-day restriction on travel from Europe. The restriction stops people not goods.",2020-03-12 02:13:32+00:00,euro,no change,1.13158,1.13226,1.13256,1.13133
RT @mattgaetz: Bloomberg spent $500m just to win American Samoa. He could have spent $700m to buy the whole place. It would have been a bet…,2020-03-06 03:48:34+00:00,dollar,no change,1.12328,1.12306,1.12334,1.12325
RT @JenniferJJacobs: Trump’s new coronavirus travel prohibitions will not apply to the trade and cargo that flow between Europe and the Uni…,2020-03-12 13:40:37+00:00,euro,no change,1.12213,1.1231,1.12216,1.11464
"RT @SBAJovita: UPDATE – At least 9,970 loans have been processed; $3,200,000,000+ originated. #CARESAct &amp; #PaycheckProtectionProgram offers…",2020-04-04 13:21:19+00:00,dollar,no change,,,,
